Address,Age of annuitant 1,Age of annuitant 2,Air conditioning,Alarm,As built plan,"As property tenant or owner, insure your real estate: fire, theft, water damage, storm, ...",Asking price excluding VAT and excl. notary fees (excluding eventual registration fees on the ground),Asking price excluding registration fees and excl. notary fees,Attic,Attic accesible with fixed stairs,Available as of,Bathrooms,Bedroom 1 area,Bedroom 2 area,Bedroom 3 area,Bedroom 4 area,Bedroom 5 area,Bedrooms,Building condition,CO₂ emission,Cable TV,Cadastral income,Cellar,Cellar area,Conformity certification for fuel tanks,Connection to sewer network,Current monthly revenue,Depth of plot,Dining room,Dining room area,Disabled access,Distance to school,Distance to shop,Distance to transports,District or place name,Double glazing,Dressing room,EPC - Energy consumption,EPC score,Find the mortgage formula and a borrowing rate that suits you the best!,Fireplaces,Flat land,Furnished,Garden,Garden area,Heat pump,Heating,Indexed annuity,Indoor parking spaces,Inspection report of the electrical installation,Intercom,Isolated attic,Jacuzzi,Kitchen area,Kitchen setup,Latest land use designation,Laundry room,Life annuity type,Lift,Living room,Living room area,Monthly annuity,Monthly charges,Name of the building,Net floor area,Newly built,Number of dwellings,Number of floors,Number of frontages,Number of lives,Number of outbuildings,Number of rooms,Office,Office area,Orientation,Orientation terrace,Outdoor parking spaces,Photovoltaic solar panels,Planning permission obtained,Plot area,Plot to front,Plot to rear,Possible priority purchase right,Proceedings for breach of planning regulations,Reference number of the EPC report,Reinforced door,Requested sale price,Reversionary annuity,Sauna,Setting,Shower rooms,Subdivision permit,Swimming pool,Tenement building,Terrace,Terrace area,Theoretical total energy consumption,Thermic solar panels,"To ensure your payments and your family safety in case of early death, you can take a Decreasing life insurance.",Toilets,Town planning,Type of flood-risk area,Value of the property,Width of plot to street,Width of street façade,Wooded land,Workspace,Workspace area,Year of construction
hazarddam 2A        | 9150 - Kruibeke,,,,yes,no,Choose your home insurance,,,,,Overeen te komen - A convenir - To be established,1,24 m2,21 m2,20 m2,14 m2,,4,As new,,,"€ 1,788",yes,,,,,45,yes,12 m2,,,,,,yes,,368 kWh/m2,,Calculate your monthly installment,1,,,yes,937 m2,,Electric,,2,"yes, conform",,,,20 m2,Installed,Farming area,,,,yes,49 m2,,,,325 m2,,,,4,,,,yes,,South-West,,5,,yes,"1,229 m2",,,yes,no,1962111 HELP,,"€ 549,000",,,,,Not specified,yes,,yes,66 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,24,17 m,,,,1993
1030 Schaerbeek        |          Ask for the exact address,,,,yes,Not specified,Choose your home insurance,,,,,28/02/2018,3,12 m2,13 m2,12 m2,13 m2,12 m2,6,Good condition,118 kg CO2/m2,yes,"€ 5,450",yes,,no,yes,,,,,,,,,Bruxelles Est,yes,,594 kWh/m2,,Calculate your monthly installment,,,,yes,110 m2,,Gas,,3,"yes, conform",yes,,,,Uninstalled,,,,,,,,,,330 m2,,,3,4,,,,yes,110 m2,,,1,,Not specified,376 m2,,,Not specified,Not specified,20170925-0000512761-01-6 HELP,yes,"€ 750,000",,,Urban,3,Not specified,,yes,yes,15 m2,,,Insure your mortgage loan,3,,Property located in a non-flood zone,,,10·04 m,,,,1928
Grand Ry 408        | 4870 - Trooz,,,,yes,Not specified,Choose your home insurance,,,33 m2,,Upon exchange of deeds,1,19 m2,12 m2,22 m2,16 m2,,4,As new,,yes,"€ 1,405",,,,,,,yes,18 m2,,,,,,yes,,194 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,1,,,,,14 m2,Hyper-equipped,,,,,yes,,,,,250 m2,,,1,,,,,yes,9 m2,,,,,Not specified,"1,525 m2",,,Not specified,Not specified,20171221017021 HELP,,"€ 499,000",,,,,Not specified,,,yes,90 m2,"62,281 kWh/year",,Insure your mortgage loan,2,,,,,20 m,,,,2006
Steenbergwijk 7b        | 3530 - Houthalen-Helchteren,,,,,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,14 m2,12 m2,9 m2,,,3,To be done up,1 kg CO2/m2,,€ 467,yes,,"yes, conform",,,,yes,30 m2,,"1,146 m",690 m,820 m,,yes,,431 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,1,,,,,12 m2,Installed,Not specified,,,,yes,30 m2,,,,125 m2,,,2,3,,,,,,Southeast,,,,yes,722 m2,,,no,no,20151125-0001814395-1 HELP,,"€ 165,000",,,,,no,,,yes,,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,,,,,,1963
1470 BAISY-THY        |          Ask for the exact address,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,5,To be done up,,,€ 629,yes,,,,,,,,,,,,,yes,,515 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,6,"yes, not conform",,,,,,,,,,yes,50 m2,,,,280 m2,,,2,4,,,,yes,,,,5,,Not specified,"1,000 m2",,,Not specified,Not specified,20171017002900 HELP,,"€ 220,000",,,,,Not specified,,,yes,,"145,086 kWh/year",,Insure your mortgage loan,1,,,,,,,,,1950
Diestsesteenweg 31        | 3540 - Herk-de-Stad,,,,,no,Choose your home insurance,,,,,Overeen te komen - A convenir - To be established,2,18 m2,17 m2,14 m2,10 m2,9 m2,5,To be renovated,,,€ 805,,,,,,,yes,28 m2,,534 m,,264 m,,,,,,Calculate your monthly installment,,,,,,,Fuel,,4,"yes, not conform",,,,22 m2,Semi-equipped,Not specified,,,,yes,40 m2,,,,292 m2,,,,3,,,,,,,,1,,Not specified,"2,241 m2",,,yes,no,,,"€ 224,000",,,,,yes,,,yes,,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,,12 m,,,,1938
Route de Gosselies 294        | 6220 - Fleurus,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,4,Good condition,,,,,,no,,,,,,,,,,,yes,,108 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,"yes, conform",,,,,Uninstalled,,,,,yes,43 m2,,,,160 m2,,,,,,,,,,Southeast,,,,Not specified,,,,Not specified,Not specified,20171106501859 HELP,,"€ 215,000",,,,,Not specified,,,yes,,"18,872 kWh/year",,Insure your mortgage loan,2,,,,,,,,,2017
Kloosterstraat 4        | 2830 - Willebroek,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,27 m2,22 m2,16 m2,,,3,To be done up,"1,000 kg CO2/m2",,"€ 2,818",yes,,no,,,28,,,,,,,,,,328 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,2,"yes, conform",,,,19 m2,Installed,"Living area (residential, urban or rural)",,,,yes,49 m2,,,,336 m2,,,3,2,,,,yes,,Southeast,,,,yes,266 m2,,,Not specified,no,20170314-0001942332-1 HELP,,"€ 450,000",,,shop street,,no,,,yes,19 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,11.05,,,,,1960
Kanonstraat 45        | 8500 - Kortrijk,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,2,Good condition,,,€ 464,,,,,,14,,,,,,,,yes,,558 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,"yes, not conform",,,,,Installed,Not specified,,,,,,,,,111 m2,,,,2,,,,,,,,,,Not specified,50 m2,,,yes,Not specified,20180124-0002027320-1 HELP,,"€ 93,000",,,,,yes,,,,,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,3.8,,,,,
Rue de Ciney 35        | 5580 - Rochefort,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,15 m2,15 m2,12 m2,,,3,To be renovated,,,€ 619,yes,,,,,,yes,20 m2,,,,,,yes,,494 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,1,"yes, conform",,,,14 m2,Semi-equipped,,,,,,,,,,190 m2,,,,3,,,,,,South,,2,,Not specified,,,,Not specified,Not specified,20171227003414 HELP,,"€ 125,000",,,shop street,,Not specified,,,,,,,Insure your mortgage loan,2,,,,,,,,,
