Address,Age of annuitant 1,Age of annuitant 2,Air conditioning,Alarm,As built plan,"As property tenant or owner, insure your real estate: fire, theft, water damage, storm, ...",Asking price excluding VAT and excl. notary fees (excluding eventual registration fees on the ground),Asking price excluding registration fees and excl. notary fees,Attic,Attic accesible with fixed stairs,Available as of,Bathrooms,Bedroom 1 area,Bedroom 2 area,Bedroom 3 area,Bedroom 4 area,Bedroom 5 area,Bedrooms,Building condition,CO₂ emission,Cable TV,Cadastral income,Cellar,Cellar area,Conformity certification for fuel tanks,Connection to sewer network,Current monthly revenue,Depth of plot,Dining room,Dining room area,Disabled access,Distance to school,Distance to shop,Distance to transports,District or place name,Double glazing,Dressing room,EPC - Energy consumption,EPC score,Find the mortgage formula and a borrowing rate that suits you the best!,Fireplaces,Flat land,Furnished,Garden,Garden area,Heat pump,Heating,Indexed annuity,Indoor parking spaces,Inspection report of the electrical installation,Intercom,Isolated attic,Jacuzzi,Kitchen area,Kitchen setup,Latest land use designation,Laundry room,Life annuity type,Lift,Living room,Living room area,Monthly annuity,Monthly charges,Name of the building,Net floor area,Newly built,Number of dwellings,Number of floors,Number of frontages,Number of lives,Number of outbuildings,Number of rooms,Office,Office area,Orientation,Orientation terrace,Outdoor parking spaces,Photovoltaic solar panels,Planning permission obtained,Plot area,Plot to front,Plot to rear,Possible priority purchase right,Proceedings for breach of planning regulations,Reference number of the EPC report,Reinforced door,Requested sale price,Reversionary annuity,Sauna,Setting,Shower rooms,Subdivision permit,Swimming pool,Tenement building,Terrace,Terrace area,Theoretical total energy consumption,Thermic solar panels,"To ensure your payments and your family safety in case of early death, you can take a Decreasing life insurance.",Toilets,Town planning,Type of flood-risk area,Value of the property,Width of plot to street,Width of street façade,Wooded land,Workspace,Workspace area,Year of construction
Schoolstraat 31        | 1853 - Grimbergen Strombeek-Bever,,,,yes,Not specified,Choose your home insurance,,,5 m2,,17/07/2017,1,14 m2,28 m2,13 m2,12 m2,28 m2,5,To be renovated,,,€ 815,yes,28 m2,,,,,yes,10 m2,,,,,,yes,,299 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,no,,,,13 m2,Uninstalled,Not specified,,,,yes,27 m2,,,,180 m2,,,4,2,,,,yes,,,,,,Not specified,90 m2,,,Not specified,Not specified,0 HELP,,"€ 295,000",,,Urban,,Not specified,,,,,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,,,,,,1940
Hendrik 1 lei 79        | 1800 - Vilvoorde,,,,,Not specified,Choose your home insurance,,,18 m2,,29/08/2017,2,12 m2,8 m2,19 m2,,,3,To be done up,,,"€ 1,389",yes,74 m2,,,,,,,,,,,Brabant flamand,yes,,631 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,"yes, conform",,,,8 m2,Semi-equipped,Not specified,,,,yes,38 m2,,,,210 m2,,,5,2,,,,yes,56 m2,,,1,,Not specified,135 m2,,,Not specified,Not specified,0 HELP,,"€ 300,000",,,Urban,,Not specified,,yes,,,,,Insure your mortgage loan,3,,Property located in a non-flood zone,,,,,,,1936
rue des combattants 20        | 1421 - Ophain-Bois-Seigneur-Isaac,,,,,Not specified,Choose your home insurance,,,,,30/06/2017,1,,,,,,4,Good condition,,,,yes,,,yes,,,,,,,,,Cedimmo,,,232 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,"yes, not conform",,,,,USA Hyper-equipped,Residential park,,,,yes,,,,,248 m2,,,2,2,,,,,,,,,,yes,402 m2,,,no,no,,,"€ 315,000",,,Urban,1,no,,,yes,,not specified,,Insure your mortgage loan,3,,Property located in a non-flood zone,,,6 m,,,,1937
rue de Rabais 47        | 6760 - ETHE,,,,,no,Choose your home insurance,,,,,,2,,,,,,4,Good condition,87 kg CO2/m2,,€ 880,yes,,,,,,,,,,,,,yes,,307 kWh/m2,,Calculate your monthly installment,,,,,,,Electric,,2,"yes, conform",,,,,Installed,,,,,,,,,,196 m2,,,,4,,,,,,North-West,,,,Not specified,"1,000 m2",,,Not specified,Not specified,20161209020347 HELP,,"€ 320,000",,,,,Not specified,,,yes,,"79,170 kWh/year",,Insure your mortgage loan,3,,,,,,,,,2006
Heidestraat 2        | 1740 - Ternat,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,24 m2,11 m2,10 m2,,,3,As new,,,"€ 1,400",,,,,,,yes,30 m2,,550 m,600 m,150 m,,,,337 kWh/m2,,Calculate your monthly installment,,,,yes,855 m2,,Gas,,,"yes, not conform",,,,22 m2,Installed,Not specified,,,,yes,42 m2,,,,331 m2,,,,4,,,,,,South,,6,,Not specified,"1,198 m2",,,no,Not specified,20171026-0002005662-1 HELP,,"€ 329,000",,,,,Not specified,,,yes,14 m2,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,,,,,,1874
kapelrie 50        | 8490 - VARSENARE,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,3,Good condition,,,"€ 1,113",,,,,,,,,,,,,,yes,,376 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,"yes, conform",,,,,Semi-equipped,"Living area (residential, urban or rural)",,,,yes,32 m2,,,,165 m2,,,,4,,,,yes,,,,,,yes,614 m2,,,no,no,,,"€ 335,000",,,,,yes,,,yes,40 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,,,,,,1980
Amazonenlaan 41        | 1800 - Vilvoorde Koningslo,,,,,Not specified,Choose your home insurance,,,46 m2,,29/08/2017,1,15 m2,11 m2,7 m2,,,3,Good condition,,,"€ 1,452",,,,,,,,,,,,,,yes,,342 kWh/m2,,Calculate your monthly installment,,,,yes,140 m2,,Gas,,1,no,,,,8 m2,Installed,Not specified,,,,yes,35 m2,,,,150 m2,,,4,2,,,,yes,,,,1,,Not specified,257 m2,,,Not specified,Not specified,0 HELP,,"€ 349,000",,,Urban,,Not specified,,,yes,12 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,,,,,,1960
Rue Champ de la Couronne 34        | 1020 - Laeken,,,,,Not specified,Choose your home insurance,,,15 m2,,Upon exchange of deeds,3,8 m2,8 m2,8 m2,24 m2,24 m2,7,Good condition,76 kg CO2/m2,,"€ 1,400",yes,30 m2,no,,,,,,,,,,,yes,,299 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,,"yes, conform",,,,10 m2,Installed,,,,,yes,31 m2,,,,220 m2,,,4,2,,,,,,,,,,Not specified,75 m2,,,Not specified,Not specified,,,"€ 360,000",,,Urban,2,Not specified,,,,,,,Insure your mortgage loan,3,,,,,,,,,1910
Rue Jean Rey 16        | 1370 - Jodoigne,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,4,Good condition,,,"€ 1,255",,,,,,,,,,,,,,yes,,168 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,"yes, conform",,,,,Installed,"Living area (residential, urban or rural)",,,,yes,35 m2,,,,147 m2,,,,3,,,,,,South,,,,yes,511 m2,,,no,no,,,"€ 370,000",,,Residential,,yes,,,yes,20 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,,,,,,2005
Binnenpad 42        | 2040 - BERENDRECHT,,,,,no,Choose your home insurance,,,,,Immediately,1,,,,,,3,As new,,,"€ 1,316",,,no,,,150,,,,614 m,,476 m,,yes,,284 kWh/m2,,Calculate your monthly installment,,,,,,,,,1,"yes, conform",,,,,,"Living area (residential, urban or rural)",,,,yes,34 m2,,,,123 m2,,,1,4,,,,yes,,North,,2,,yes,"1,952 m2",,,no,no,1887413 HELP,,"€ 385,000",,,,,no,,,yes,60 m2,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,14,,,,,1996
Clos du Trou Renard 1        | 4608 - WARSAGE,,,,yes,no,Choose your home insurance,,,,,Upon exchange of deeds,1,23 m2,17 m2,17 m2,13 m2,13 m2,5,Good condition,,,"€ 1,376",yes,,"yes, conform",,,26,,,,,,,,yes,,170 kWh/m2,,Calculate your monthly installment,,,,yes,691 m2,,Fuel,,4,"yes, conform",,,,,Semi-equipped,,,,,,,,,,440 m2,,,,4,,,,yes,11 m2,,,,,Not specified,863 m2,,,Not specified,Not specified,20171014001173 HELP,,"€ 395,000",,,Country,,Not specified,,,yes,,"54,740 kWh/year",,Insure your mortgage loan,2,,,,36,,,,,2009
Rue Théodore De Cuyper 264        | 1200 - Woluwe-Saint-Lambert,,,,yes,,Choose your home insurance,,,,,,,13 m2,24 m2,19 m2,24 m2,19 m2,5,Just renovated,39 kg CO2/m2,yes,"€ 3,046",yes,30 m2,not specified,yes,,,yes,12 m2,,,,,,,,179 kWh/m2,,Calculate your monthly installment,,,,yes,350 m2,,Gas,,,"yes, conform",,,,10 m2,Hyper-equipped,,,,,yes,37 m2,,,,292 m2,,,,3,,,,,,Southeast,Southeast,,,no,469 m2,,,no,no,20130219-0000147580-01-6 HELP,,"€ 890,000",,,landscape,,no,,,yes,18 m2,,,Insure your mortgage loan,,,Property located in a non-flood zone,,10,6·5 m,,,,2000
Rue Victor Rauter 93        | 1070 - Anderlecht,,,,,Not specified,Choose your home insurance,,,,,01/04/2018,1,17 m2,16 m2,12 m2,9 m2,,4,To be renovated,,,,yes,,,,,,yes,25 m2,yes,,,,Bruxelles,yes,,451 kWh/m2,,Calculate your monthly installment,,,,yes,10 m2,,Gas,,1,no,yes,,,,Installed,"Living area (residential, urban or rural)",,,,,,,,,260 m2,,,3,2,,,,,,,,,,Not specified,161 m2,,,Not specified,Not specified,,,"€ 349,000",,,Isolated,2,Not specified,,,,,,,Insure your mortgage loan,2,,,,,,,,,1923
Kipelle 9        | 4020 - Wandre,,,,,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,1,16 m2,18 m2,16 m2,18 m2,,4,Good condition,,yes,€ 743,yes,35 m2,,yes,,,yes,18 m2,,,,,,yes,,423 kWh/m2,,Calculate your monthly installment,,,,yes,66 m2,,Gas,,,"yes, conform",,,,26 m2,Installed,,,,,yes,,,,,220 m2,,,2,3,,,,,,,,,,Not specified,192 m2,,,Not specified,Not specified,20171107014904 HELP,,"€ 219,000",,,Urban,,Not specified,,,yes,,"92,157 kWh/year",,Insure your mortgage loan,1,,,,,11 m,,,,
Kolmen 41        | 3580 - Beringen,,,,,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,18 m2,17 m2,16 m2,10 m2,,4,As new,,,"€ 1,216",yes,,,,,39,,,,"1,600 m","1,000 m",300 m,,yes,,350 kWh/m2,,Calculate your monthly installment,,,,yes,930 m2,,Gas,,2,"yes, conform",,,,17 m2,Installed,Not specified,,,,yes,32 m2,,,,258 m2,,,,4,,,,yes,9 m2,Southeast,,2,,yes,"1,063 m2",,,no,no,20170601-0001966180-1 HELP,,"€ 324,000",,,Urban,,no,,,yes,24 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,33,19 m,,,,1961
Gijzelbrechtegemstraat 13        | 8570 - Anzegem,,,,,no,Choose your home insurance,,,,,01/07/2018,1,14 m2,11 m2,8 m2,,,3,,"1,000 kg CO2/m2",,€ 272,,,,,,73,,,,,250 m,50 m,,yes,,"1,106 kWh/m2",,Calculate your monthly installment,,,,,,,,,1,"yes, not conform",,,,14 m2,Installed,"Living area (residential, urban or rural)",,,,,,,,,110 m2,,,,3,,,,yes,,,,,,Not specified,381 m2,,,no,no,1991375 HELP,,"€ 179,000",,,,,Not specified,,,,,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,8.2,7 m,,,,1954
Campagne de la banse 90        | 4040 - Herstal,,,,,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,1,18 m2,9 m2,18 m2,18 m2,,4,Good condition,,yes,€ 381,yes,34 m2,,,,,,,,,,,,yes,,265 kWh/m2,,Calculate your monthly installment,,,,yes,64 m2,,Fuel,,,,,,,13 m2,Installed,,,,,yes,,,,,130 m2,,,2,2,,,,,,,,,,Not specified,128 m2,,,Not specified,Not specified,2017120402218 HELP,,"€ 169,000",,,Urban,,Not specified,,,yes,29 m2,"34,731 kWh/year",,Insure your mortgage loan,2,,,,,4 m,,,,1895
Karel Van Lorreinenlaan 28        | 3080 - Tervuren,,,,yes,Not specified,Choose your home insurance,,,,,01/03/2018,4,30 m2,25 m2,24 m2,22 m2,14 m2,6,As new,,yes,"€ 5,515",yes,,,,,,,,,,,,,yes,,257 kWh/m2,,Calculate your monthly installment,,,,yes,"1,800 m2",,Gas,,2,"yes, not conform",,,,20 m2,Hyper-equipped,Not specified,,,,yes,65 m2,,,,520 m2,,,2,4,,,,yes,,,,2,,Not specified,"1,980 m2",,,Not specified,Not specified,- HELP,yes,"€ 1,850,000",,,Residential,2,Not specified,,,yes,70 m2,,,Insure your mortgage loan,5,,Property located in a non-flood zone,,,14 m,,,,1965
1180 Uccle        |          Ask for the exact address,,,,yes,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,2,40 m2,35 m2,22 m2,,,3,As new,,,"€ 2,736",yes,,,yes,,,yes,18 m2,,,,,Bruxelles Sud,yes,,175 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,"yes, conform",yes,,,9 m2,USA Hyper-equipped,,,,,yes,60 m2,,,,250 m2,,1,2,2,,,,yes,,,,1,,Not specified,130 m2,,,Not specified,Not specified,,,"€ 1,250,000",,,Urban,,Not specified,,,yes,49 m2,,,Insure your mortgage loan,3,,,,,75 m,,,,1930
Jozef Wautersstraat 102        | 2830 - Willebroek,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,13 m2,13 m2,7 m2,,,4,Good condition,,,€ 860,yes,,,,,37,,,,,,,,yes,,201 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,"yes, conform",,,,40 m2,Hyper-equipped,"Living area (residential, urban or rural)",,,,yes,25 m2,,,,183 m2,,,2,2,,,,,,West,,,,yes,256 m2,,,yes,no,20170628-0000444756-5 HELP,,"€ 285,000",,,,,no,,,yes,50 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,7,7 m,,,,1956
1780 Wemmel        |          Ask for the exact address,,,,yes,Not specified,Choose your home insurance,,,,,01/02/2018,5,20 m2,20 m2,20 m2,20 m2,20 m2,5,Good condition,,,"€ 14,067",yes,110 m2,"yes, conform",yes,,,yes,30 m2,yes,,,,Est et périphérie bruxelloise,yes,,176 kWh/m2,,Calculate your monthly installment,,,,yes,"2,500 m2",,Fuel,,6,"yes, not conform",,,,30 m2,Hyper-equipped,"Living area (residential, urban or rural)",,,yes,yes,50 m2,,,,850 m2,,,3,4,,,,yes,,,,3,,yes,"2,763 m2",,,Not specified,Not specified,20170106-0001923592-1 HELP,yes,"€ 2,300,000",,,Residential,,Not specified,yes,,yes,80 m2,,,Insure your mortgage loan,7,,Property located in a non-flood zone,,,,,,,1984
Paardenstraat 26        | 2880 - MARIEKERKE,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,18 m2,13 m2,11 m2,,,3,Good condition,,,€ 855,,,,,,21,,,,,,,,yes,,475 kWh/m2,,Calculate your monthly installment,1,,,,,,Gas,,1,"yes, not conform",,,,13 m2,Hyper-equipped,"Living area (residential, urban or rural)",,,,yes,48 m2,,,,272 m2,,,2,4,,,,,,Southeast,,1,,yes,325 m2,,,no,no,20170619-0001970918-1 HELP,,"€ 327,000",,,,,no,,,yes,20 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,15,11 m,,,,1973
Berrebroeckstraat 18        | 9400 - Ninove,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,22 m2,20 m2,12 m2,,,3,As new,,,€ 312,,,,,,,yes,30 m2,,"2,500 m","2,000 m",110 m,,yes,,330 kWh/m2,,Calculate your monthly installment,,,,yes,60 m2,,Gas,,,,,,,12 m2,Installed,"Living area (residential, urban or rural)",,,,yes,30 m2,,,,133 m2,,,3,3,,,,,,North-West,,3,,Not specified,216 m2,,,no,Not specified,20171217-0002019084-1 HELP,,"€ 249,999",,,Compartmentalized,,Not specified,,,yes,11 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,,,,,,1930
Sint-Margrietstraat 30        | 3582 - Koersel,,,,,Not specified,Choose your home insurance,,,,yes,Immediately,1,14 m2,19 m2,25 m2,,,3,Good condition,,yes,€ 815,yes,20 m2,,yes,,53,,,,500 m,"1,000 m","1,000 m",Limburg,yes,,298 kWh/m2,,Calculate your monthly installment,1,yes,,yes,210 m2,,Gas,,1,"yes, conform",,110 m2,,15 m2,Installed,"Living area (residential, urban or rural)",yes,,,yes,32 m2,,,,186 m2,yes,1,1,4,,2,,yes,10 m2,North,,2,,yes,854 m2,,,no,no,20171127-0002013618-1 HELP,,"€ 249,000",,,Residential,1,yes,,,yes,8 m2,,,Insure your mortgage loan,2,gebouw op vergunde stedenbouwkundige bestemming met benaming van het plannenregister,,,19,11 m,,,,1974
Moerplas 133        | 2870 - Ruisbroek,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,14 m2,14 m2,,,,3,Good condition,,,€ 324,yes,,"yes, not conform",,,,,,,,,,,yes,,272 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,"yes, not conform",,,,,Uninstalled,"Living area (residential, urban or rural)",,,,yes,43 m2,,,,193 m2,,,2,3,,,,,,North-West,,3,,yes,515 m2,,,no,no,20170823-0001981109-1 HELP,,"€ 299,000",,,,,no,,,yes,30 m2,,,Insure your mortgage loan,3,,,,,7 m,,,,1850
Portugeesstraat 24        | 1790 - Affligem,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,2,46 m2,24 m2,18 m2,16 m2,,4,As new,,,€ 739,,,,,,,,,,650 m,700 m,200 m,,yes,,182 kWh/m2,,Calculate your monthly installment,,,,yes,44 m2,,Gas,,,"yes, not conform",,,,16 m2,Installed,"Living area (residential, urban or rural)",,,,yes,40 m2,,,,214 m2,,,3,3,,,,,,South,,1,,yes,185 m2,,,no,Not specified,20171009-0002000512-1 HELP,,"€ 359,000",,,Residential,,Not specified,,,yes,9 m2,,,Insure your mortgage loan,3,,Possible flood zone,,,7 m,,,,1850
Nieuwe Steenweg 69        | 9140 - Temse,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,17 m2,12 m2,,,,3,To be done up,,,"€ 1,479",yes,,,,,67,,,,,,,,yes,,490 kWh/m2,,Calculate your monthly installment,,,,yes,600 m2,,Gas,,5,"yes, not conform",,,,15 m2,Installed,"Living area (residential, urban or rural)",,,,yes,65 m2,,,,200 m2,,,1,4,,,,,,West,,5,,yes,"1,206 m2",,,no,no,1929301 HELP,,"€ 398,500",,,,,yes,,,yes,79 m2,,,Insure your mortgage loan,2,,Possible flood zone,,18,10 m,,,,1983
Rue des Artistes 9        | 1020 - Laeken,,,,yes,Not specified,Choose your home insurance,,,,,To define,1,17 m2,16 m2,16 m2,14 m2,12 m2,5,As new,28 kg CO2/m2,yes,"€ 1,549",yes,3 m2,,yes,,,yes,17 m2,,100 m,50 m,50 m,,yes,,143 kWh/m2,,Calculate your monthly installment,1,,,,,,Gas,,1,"yes, conform",yes,,,,Installed,,yes,,,yes,19 m2,,,,235 m2,,,5,2,,,,yes,8 m2,,North-West,,,Not specified,116 m2,,,Not specified,Not specified,20180107-0000518943-01-7 HELP,,"€ 495,000",,yes,Urban,3,Not specified,,,,,,,Insure your mortgage loan,3,,,,,6 m,,yes,16 m2,1911
rue Charles Pas 6        | 1160 - Auderghem,,,,,Not specified,Choose your home insurance,,,368 m2,,01/01/2000,2,24 m2,21 m2,14 m2,13 m2,,4,Good condition,61 kg CO2/m2,yes,"€ 3,063",yes,15 m2,,yes,,24,yes,15 m2,,300 m,"1,500 m",,Est de Bruxelles + VL,yes,,236 kWh/m2,,Calculate your monthly installment,,,,yes,150 m2,,Fuel,,2,"yes, conform",,,,11 m2,Installed,,,,,yes,38 m2,,,,180 m2,,,1,3,,,,,,,,1,,Not specified,403 m2,,,Not specified,Not specified,2016 HELP,,"€ 750,000",,,Urban,1,Not specified,,,yes,12 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,15,12 m,,,25 m2,1968
avenue de la Faisanderie 1        | 1160 - Auderghem,,,,yes,Not specified,Choose your home insurance,,,,,01/01/2000,2,25 m2,25 m2,19 m2,18 m2,13 m2,5,As new,76 kg CO2/m2,,"€ 3,720",yes,20 m2,no,,,,,,,350 m,750 m,,Est de Bruxelles + VL,yes,,364 kWh/m2,,Calculate your monthly installment,,,,yes,500 m2,,Gas,,3,no,,,,15 m2,Hyper-equipped,,,,,yes,50 m2,,,,256 m2,,,2,4,,,,yes,,,,1,,Not specified,709 m2,,,Not specified,Not specified,0 HELP,,"€ 890,000",,,Residential,,Not specified,,,yes,46 m2,,,Insure your mortgage loan,3,,,,,9·5 m,,,,1953
Jozef II-straat 35        | 3000 - Leuven,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,15 m2,15 m2,8 m2,,,4,Good condition,,,€ 490,yes,,,,,17,,,,,,,,yes,,217 kWh/m2,,Calculate your monthly installment,,,,yes,21 m2,,Gas,,,"yes, not conform",,,,15 m2,,Not specified,,,,,,,,,165 m2,,,,2,,,,yes,,Northeast,,,,Not specified,66 m2,,,Not specified,Not specified,,,"€ 310,000",,,,,Not specified,,,yes,21 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,3.85,,,,,
1081 Koekelberg        |          Ask for the exact address,,,,,yes,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,4,Good condition,72 kg CO2/m2,,€ 473,yes,,,,,,,,,,,,,yes,,336 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,"yes, conform",,,,,USA Installed,,,,,yes,25 m2,,,,156 m2,,,2,,,,,,,South,,,,Not specified,60 m2,,,yes,yes,,,"€ 265,000",,,,,yes,,,,,,,Insure your mortgage loan,1,,,,,5 m,,,,
Meir 74        | 2890 - OPPUURS,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,27 m2,16 m2,12 m2,,,6,Just renovated,,,"€ 2,062",yes,,,,,,,,,,,,,yes,,146 kWh/m2,,Calculate your monthly installment,1,,,,,,,,7,,,,,26 m2,Hyper-equipped,Farming area,,,,yes,46 m2,,,,202 m2,,,2,4,,,,yes,14 m2,East,,5,,no,"1,593 m2",,,yes,no,20180120-0002026013-1 HELP,,"€ 498,000",,,,1,no,,,yes,50 m2,,,Insure your mortgage loan,3,,Property located in a non-flood zone,,26,,,,,
6210 FRASNES-LEZ-GOSSELIES        |          Ask for the exact address,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,5,To be done up,,,€ 629,yes,,,,,,,,,,,,,yes,,515 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,6,"yes, not conform",,,,,,,,,,yes,50 m2,,,,280 m2,,,2,4,,,,yes,,,,5,,Not specified,"1,000 m2",,,Not specified,Not specified,20171017002900 HELP,,"€ 220,000",,,,,Not specified,,,yes,,"145,086 kWh/year",,Insure your mortgage loan,1,,,,,,,,,1950
7850 Enghien        |          Ask for the exact address,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,22 m2,19 m2,17 m2,12 m2,,4,Just renovated,91 kg CO2/m2,,€ 699,yes,,,,,,yes,18 m2,,,,,,yes,,369 kWh/m2,,Calculate your monthly installment,,,,yes,40 m2,,Fuel,,,"yes, not conform",,,,8 m2,Installed,,,,,yes,45 m2,,,,158 m2,,,2,2,,,,,,East,,,,Not specified,158 m2,,,Not specified,Not specified,20170221005684 HELP,,"€ 310,000",,,Urban,,Not specified,,,yes,15 m2,,,Insure your mortgage loan,2,,,,6,6 m,,,,
Rue des Carmélites 93/0        | 1180 - Uccle,,,,yes,Not specified,Choose your home insurance,,,15 m2,,Upon exchange of deeds,5,15 m2,12 m2,12 m2,10 m2,10 m2,6,As new,,yes,"€ 2,446",yes,80 m2,no,yes,,30,yes,,,500 m,50 m,,Bruxelles (19 communes),yes,,,,Calculate your monthly installment,,,,,,,Gas,,,no,yes,,,15 m2,,,,,,yes,,,,,415 m2,,1,3,3,,,,,,,,,,yes,415 m2,,,no,no,,,"€ 1,190,000",,,Mall,2,no,,yes,,,,,Insure your mortgage loan,6,,Property located in a non-flood zone,,10,10 m,,,,1968
Rue la cavée 27        | 7750 - AMOUGIES,,,,,no,Choose your home insurance,,,,,,1,15 m2,12 m2,9 m2,9 m2,,4,Good condition,,,€ 999,,,"yes, conform",,,,,,,,,,,yes,,285 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,2,"yes, conform",,,,18 m2,Installed,,,,,,,,,,200 m2,,,,4,,,,yes,,Northeast,,,,Not specified,"2,100 m2",,,Not specified,Not specified,20170425022568 HELP,,"€ 398,000",,,,1,Not specified,,,yes,,,,Insure your mortgage loan,2,,,,,,,,,1996
Hof Van Kersbeek 26        | 3078 - Everberg,,,,yes,yes,Choose your home insurance,,,,yes,To define,1,17 m2,11 m2,11 m2,11 m2,10 m2,5,As new,9 kg CO2/m2,yes,"€ 1,200",,,,yes,,49,yes,14 m2,,,,,,yes,yes,150 kWh/m2,,Calculate your monthly installment,,yes,,yes,810 m2,,Gas,,,"yes, conform",,21 m2,,15 m2,Installed,"Living area (residential, urban or rural)",yes,,,yes,32 m2,,,,230 m2,yes,,3,4,,,,yes,19 m2,Southeast,Southeast,2,yes,yes,900 m2,,,no,no,20171213-0002018032-1 HELP,,"€ 610,000",,,Country,1,yes,,,yes,30 m2,,,Insure your mortgage loan,2,,,,18,,,,,2005
7110 HOUDENG-AIMERIES        |          Ask for the exact address,,,,yes,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,5,To be done up,123 kg CO2/m2,,€ 895,yes,,,,,,,,,,,,,yes,,676 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,"yes, conform",,,,,,,,,,,,,,,189 m2,,,2,3,,,,yes,12 m2,,,,,Not specified,192 m2,,,Not specified,Not specified,2013061002171 HELP,,"€ 200,000",,,,,Not specified,,,yes,15 m2,,,Insure your mortgage loan,1,,,,,,,,,
1420 Braine-l'Alleud        |          Ask for the exact address,,,,yes,Not specified,Choose your home insurance,,,85 m2,,Upon exchange of deeds,4,20 m2,31 m2,13 m2,18 m2,11 m2,5,As new,,,"€ 5,758",yes,47 m2,,yes,,,,,,,,,Cedimmo,,,190 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,2,"yes, not conform",,,,,Installed,"Living area (residential, urban or rural)",,,,yes,52 m2,,,,255 m2,,,1,4,,,,yes,15 m2,,,5,,yes,22 m2,,,no,no,20130516023690 HELP,,"€ 700,000",,,Residential,1,yes,,,yes,170 m2,"68,308 kWh/year",,Insure your mortgage loan,5,,Property located in a non-flood zone,,,,,,,1991
4460 GRÂCE-HOLLOGNE        |          Ask for the exact address,,,,,no,Choose your home insurance,,,,,A convenir - Overeen te komen - To be established,4,22 m2,20 m2,16 m2,14 m2,,7,To be done up,159 kg CO2/m2,,€ 814,yes,,,,,,yes,16 m2,,870 m,,91 m,Velroux,yes,,642 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,4,"yes, conform",,,,12 m2,Uninstalled,,,,,,,,,,259 m2,,,2,3,,,,,,Southeast,,,,Not specified,490 m2,,,Not specified,Not specified,20171025018586 HELP,,"€ 155,000",,,,,Not specified,,,,,"59,324 kWh/year",,Insure your mortgage loan,4,,,,24,19 m,,,,
